,Ticker,Adj. Close,Year
193,GOOG,526.4,2014
445,GOOG,758.88,2015
1199,GOOG,1035.61,2018
1451,GOOG,1337.02,2019
1766,FOX_old,35.62,2019
2128,ATVI,13.25,2007
2381,ATVI,7.71,2008
2633,ATVI,9.91,2009
2885,ATVI,11.25,2010
3387,ATVI,9.89,2012
3639,ATVI,16.82,2013
3891,ATVI,19.19,2014
4143,ATVI,37.24,2015
4897,ATVI,45.68,2018
5149,ATVI,58.75,2019
5511,BLK,153.52,2007
5764,BLK,96.75,2008
6016,BLK,170.94,2009
6268,BLK,143.66,2010
6770,BLK,165.94,2012
7022,BLK,262.15,2013
7274,BLK,303.31,2014
7526,BLK,296.23,2015
8280,BLK,367.86,2018
8532,BLK,484.95,2019
8894,ADBE,42.73,2007
9147,ADBE,21.29,2008
9399,ADBE,36.78,2009
9651,ADBE,30.78,2010
10153,ADBE,37.68,2012
10405,ADBE,59.88,2013
10657,ADBE,72.7,2014
10909,ADBE,93.94,2015
11663,ADBE,226.24,2018
11915,ADBE,329.81,2019
12277,MMM,58.07,2007
12530,MMM,40.76,2008
12782,MMM,60.55,2009
13034,MMM,64.83,2010
13536,MMM,73.48,2012
13788,MMM,113.51,2013
14040,MMM,136.2,2014
14292,MMM,128.15,2015
15046,MMM,174.86,2018
15298,MMM,167.41,2019
15660,PPL,25.08,2007
15913,PPL,15.27,2008
16165,PPL,16.85,2009
16417,PPL,14.47,2010
16919,PPL,17.41,2012
17171,PPL,19.21,2013
17423,PPL,24.24,2014
17675,PPL,25.77,2015
18429,PPL,24.65,2018
18681,PPL,32.89,2019
18829,TWTR,63.65,2013
19081,TWTR,35.87,2014
19333,TWTR,23.14,2015
20087,TWTR,28.74,2018
20339,TWTR,32.05,2019
20701,BRID,6.47,2007
20954,BRID,3.71,2008
21206,BRID,11.03,2009
21458,BRID,14.15,2010
21960,BRID,6.81,2012
22212,BRID,9.58,2013
22464,BRID,7.75,2014
22716,BRID,8.7,2015
23470,BRID,19.87,2018
23722,BRID,24.79,2019
24084,NWY,6.38,2007
24337,NWY,2.32,2008
24589,NWY,4.29,2009
24841,NWY,4.42,2010
25343,NWY,3.81,2012
25595,NWY,4.37,2013
25847,NWY,2.64,2014
